team,shirt_number,player_name,is_captain,position,age,date_of_birth,nationality,club,caps,goals,market_value_eur,tournament_goals,tournament_assists
Canada,,Promise David,0,FW,24,2001-07-03,Canada,Union Saint-Gilloise,9,3,17000000,3,0
Canada,,Nathan Saliba,0,MF,22,2004-02-07,Canada,Anderlecht,14,2,7500000,1,1
Qatar,,Mahmud Abunada,0,GK,26,2000-02-05,Qatar,Al-Rayyan,4,0,400000,0,0
Qatar,,Pedro Miguel,0,DF,35,1990-08-06,Qatar,Al-Sadd,98,3,150000,0,0
Qatar,,Lucas Mendes,0,DF,35,1990-07-03,Qatar,Al-Wakrah,25,1,350000,0,0
Qatar,,Issa Laye,0,DF,28,1997-12-22,Qatar,Al-Arabi,3,0,200000,0,0
Qatar,,Jassem Gaber,0,DF,24,2002-02-20,Qatar,Al-Rayyan,31,1,500000,0,0
Qatar,,Abdulaziz Hatem,0,MF,36,1990-01-01,Qatar,Al-Rayyan,117,11,,0,0
Qatar,,Ahmed Alaaeldin,0,FW,33,1993-01-31,Qatar,Al-Rayyan,67,9,300000,0,0
Qatar,,Edmilson Junior,0,FW,31,1994-08-19,Qatar,Al-Duhail,15,0,1800000,0,0
Qatar,,Mohammed Muntari,0,FW,32,1993-12-20,Qatar,Al-Gharafa,67,16,200000,0,0
Qatar,,Hassan Al-Haydos,1,FW,35,1990-12-11,Qatar,Al-Sadd,185,41,300000,0,0
Qatar,,Akram Afif,0,FW,29,1996-11-18,Qatar,Al-Sadd,124,39,8000000,0,0
Qatar,,Karim Boudiaf,0,MF,35,1990-09-16,Qatar,Al-Duhail,117,5,175000,0,0
Qatar,,Ayoub Al-Oui,0,DF,21,2005-03-11,Qatar,Al-Gharafa,5,0,375000,0,0
Qatar,,Homam Ahmed,0,DF,26,1999-08-25,Qatar,Cultural Leonesa,67,3,,0,0
Qatar,,Yusuf Abdurisag,0,FW,26,1999-08-06,Qatar,Al-Wakrah,38,3,275000,0,0
Qatar,,Boualem Khoukhi,0,DF,35,1990-07-09,Qatar,Al-Sadd,115,20,200000,1,0
Qatar,,Ahmed Al-Ganehi,0,MF,25,2000-09-22,Qatar,Al-Gharafa,13,1,500000,0,0
Qatar,,Sultan Al-Brake,0,DF,30,1996-04-07,Qatar,Al-Duhail,16,0,300000,0,0
Qatar,,Almoez Ali,0,FW,29,1996-08-19,Qatar,Al-Duhail,115,55,2500000,0,0
Qatar,,Ahmed Fathy,0,MF,33,1993-01-25,Qatar,Al-Arabi,47,0,,0,0
Qatar,,Salah Zakaria,0,GK,27,1999-04-24,Qatar,Al-Duhail,8,0,400000,0,0
Qatar,,Meshaal Barsham,0,GK,28,1998-02-14,Qatar,Al-Sadd,52,0,700000,0,0
Qatar,,Assim Madibo,0,MF,29,1996-10-22,Qatar,Al-Wakrah,50,0,350000,0,0
Qatar,,Tahsin Jamshid,0,FW,19,2006-06-16,Qatar,Al-Duhail,2,0,200000,0,0
Qatar,,Al-Hashmi Al-Hussain,0,DF,22,2003-08-15,Qatar,Al-Arabi,7,0,250000,0,0
Qatar,,Mohamed Manai,0,FW,23,2002-10-25,Qatar,Al-Shamal,9,0,,0,0
Switzerland,,Gregor Kobel,0,GK,28,1997-12-06,Switzerland,Borussia Dortmund,20,0,40000000,0,0
Switzerland,,Miro Muheim,0,DF,28,1998-03-24,Switzerland,Hamburger SV,9,0,5000000,0,0
Switzerland,,Silvan Widmer,0,DF,33,1993-03-05,Switzerland,Mainz 05,59,5,800000,0,0
Switzerland,,Nico Elvedi,0,DF,29,1996-09-30,Switzerland,Borussia Mönchengladbach,66,3,8000000,0,0
Switzerland,,Manuel Akanji,0,DF,30,1995-07-19,Switzerland,Inter Milan,80,4,17000000,0,0
Switzerland,,Denis Zakaria,0,MF,29,1996-11-20,Switzerland,Monaco,64,3,25000000,0,0
Switzerland,,Breel Embolo,0,FW,29,1997-02-14,Switzerland,Rennes,86,24,15000000,1,2
Switzerland,,Remo Freuler,0,MF,34,1992-04-15,Switzerland,Bologna,87,11,3000000,0,0
Switzerland,,Johan Manzambi,0,MF,20,2005-10-14,Switzerland,SC Freiburg,11,3,50000000,3,1
Switzerland,,Granit Xhaka,1,MF,33,1992-09-27,Switzerland,Sunderland,145,17,8000000,1,0
Switzerland,,Dan Ndoye,0,FW,25,2000-10-25,Switzerland,Nottingham Forest,30,7,32000000,0,0
Switzerland,,Yvon Mvogo,0,GK,32,1994-06-06,Switzerland,Lorient,13,0,2500000,0,0
Switzerland,,Ricardo Rodriguez,0,DF,33,1992-08-25,Switzerland,Real Betis,137,9,1500000,0,0
Switzerland,,Ardon Jashari,0,MF,23,2002-07-30,Switzerland,Milan,7,0,25000000,0,0
Switzerland,,Djibril Sow,0,MF,29,1997-02-06,Switzerland,Sevilla,51,0,7500000,0,0
Switzerland,,Christian Fassnacht,0,FW,32,1993-11-11,Switzerland,Young Boys,22,5,2000000,0,0
Switzerland,,Rubén Vargas,0,FW,27,1998-08-05,Switzerland,Sevilla,61,11,12000000,2,1
Switzerland,,Eray Cömert,0,DF,28,1998-02-04,Switzerland,Valencia,21,0,2500000,0,0
Switzerland,,Noah Okafor,0,FW,26,2000-05-24,Switzerland,Leeds United,24,2,25000000,0,0
Switzerland,,Michel Aebischer,0,MF,29,1997-01-06,Switzerland,Pisa,39,2,4000000,0,0
Switzerland,,Marvin Keller,0,GK,23,2002-07-03,Switzerland,Young Boys,1,0,6000000,0,0
Switzerland,,Fabian Rieder,0,MF,24,2002-02-16,Switzerland,FC Augsburg,27,1,12000000,0,0
Switzerland,,Zeki Amdouni,0,FW,25,2000-12-04,Switzerland,Burnley,28,11,7000000,0,0
