team,player_name,position,age,date_of_birth,caps,goals,club
Switzerland,Noah Okafor,FW,26,2000-05-24,24,2,Leeds United
Switzerland,Michel Aebischer,MF,29,1997-01-06,39,2,Pisa
Switzerland,Marvin Keller,GK,23,2002-07-03,1,0,Young Boys
Switzerland,Fabian Rieder,MF,24,2002-02-16,27,1,FC Augsburg
Switzerland,Zeki Amdouni,FW,25,2000-12-04,28,11,Burnley
Switzerland,Aurèle Amenda,DF,22,2003-07-31,6,0,Eintracht Frankfurt
Switzerland,Luca Jaquez,DF,23,2003-06-02,3,0,VfB Stuttgart
Switzerland,Cedric Itten,FW,29,1996-12-27,14,5,Fortuna Düsseldorf
Brazil,Alisson,GK,33,1992-10-02,77,0,Liverpool
Brazil,Wesley,DF,22,2003-09-06,7,0,Roma
Brazil,Gabriel Magalhães,DF,28,1997-12-19,17,1,Arsenal
Brazil,Marquinhos (captain),DF,32,1994-05-14,104,7,Paris Saint-Germain
Brazil,Casemiro,MF,34,1992-02-23,85,9,Manchester United
Brazil,Alex Sandro,DF,35,1991-01-26,44,2,Flamengo
Brazil,Vinícius Júnior,FW,25,2000-07-12,48,9,Real Madrid
Brazil,Bruno Guimarães,MF,28,1997-11-16,42,2,Newcastle United
Brazil,Matheus Cunha,FW,27,1999-05-27,22,1,Manchester United
Brazil,Neymar,FW,34,1992-02-05,128,79,Santos
Brazil,Raphinha,FW,29,1996-12-14,38,11,Barcelona
Brazil,Weverton,GK,38,1987-12-13,10,0,Grêmio
Brazil,Danilo Luiz,DF,34,1991-07-15,69,1,Flamengo
Brazil,Bremer,DF,29,1997-03-18,7,1,Juventus
Brazil,Léo Pereira,DF,30,1996-01-31,3,0,Flamengo
Brazil,Douglas Santos,DF,32,1994-03-22,6,0,Zenit Saint Petersburg
Brazil,Fabinho,MF,32,1993-10-23,32,0,Al-Ittihad
Brazil,Danilo Santos,MF,25,2001-04-29,3,2,Botafogo
Brazil,Endrick,FW,19,2006-07-21,16,3,Lyon
Brazil,Lucas Paquetá,MF,28,1997-08-27,62,13,Flamengo
Brazil,Luiz Henrique,FW,25,2001-01-02,14,2,Zenit Saint Petersburg
Brazil,Gabriel Martinelli,FW,24,2001-06-18,22,4,Arsenal
Brazil,Ederson,GK,32,1993-08-17,32,0,Fenerbahçe
Brazil,Roger Ibañez,DF,27,1998-11-23,6,0,Al-Ahli
Brazil,Igor Thiago,FW,24,2001-06-26,3,2,Brentford
